stop_hour,hourly_count
0,18.186666666666667
1,8.414285714285715
2,7.8
3,8.2
4,16.375
5,14.9
6,8.766666666666666
7,10.35
8,27.0
9,16.06153846153846
10,16.952631578947365
11,21.0
12,59.0
13,41.0
14,55.0
15,50.0
16,64.0
17,113.0
18,97.0
19,76.0
20,66.0
21,52.0
22,33.0
23,28.0
