stop_hour,hourly_count
0,39.0
1,7.7
2,8.775
3,8.7
4,6.75
5,27.0
6,109.0
7,181.0
8,349.0
9,322.0
10,116.0
11,102.0
12,140.0
13,141.0
14,128.0
15,236.0
16,628.0
17,617.0
18,265.0
19,184.0
20,106.0
21,105.0
22,75.0
23,76.0
