stop_hour,hourly_count
0,29.0
1,19.0
2,11.083333333333334
3,5.033333333333333
4,5.5
5,8.3
6,13.55
7,30.0
8,123.0
9,96.0
10,85.0
11,112.0
12,153.0
13,166.0
14,136.0
15,154.0
16,202.0
17,216.0
18,164.0
19,158.0
20,111.0
21,83.0
22,65.0
23,57.0
