stop_hour,hourly_count
0,29.0
1,13.0
2,12.0
3,4.2625
4,3.642857142857143
6,3.25
7,17.0
8,64.0
9,63.0
10,36.0
11,49.0
12,80.0
13,68.0
14,67.0
15,86.0
16,99.0
17,203.0
18,175.0
19,116.0
20,83.0
21,89.0
22,77.0
23,62.0
